,year,Pk,Tm,Player,Yrs,G,MP,PTS,TRB,AST,FGP,F3P,FTP,MPG,PPG,RPG,APG,WS,WS_48,BPM,VORP
365,2018,54,DAL,Shake Milton,6,302,5861,2584,679,754,.451,.358,.827,19.4,8.6,2.2,2.5,10.4,.085,-2.0,0.0
367,2018,56,PHI,Ray Spalding,2,16,167,58,52,5,.529,.000,.286,10.4,3.6,3.3,0.3,0.1,.024,-6.2,-0.2
369,2018,58,DEN,Thomas Welsh,1,11,36,18,4,5,.538,.429,.500,3.3,1.6,0.4,0.5,0.1,.162,1.2,0.0
370,2018,59,PHO,George King,2,5,25,1,6,0,.000,.000,.500,5.0,0.2,1.2,0.0,-0.1,-.225,-17.2,-0.1
372,2019,1,NOP,Zion Williamson,4,184,5857,4542,1199,761,.592,.341,.695,31.8,24.7,6.5,4.1,21.7,.178,4.6,9.8
373,2019,2,MEM,Ja Morant,5,257,8282,5783,1243,1903,.472,.318,.755,32.2,22.5,4.8,7.4,20.5,.119,2.8,10.1
374,2019,3,NYK,RJ Barrett,5,329,10945,6070,1784,962,.435,.346,.710,33.3,18.4,5.4,2.9,10.9,.048,-2.1,-0.4
375,2019,4,LAL,De'Andre Hunter,5,263,8080,3751,1078,405,.447,.363,.811,30.7,14.3,4.1,1.5,7.6,.045,-3.2,-2.5
376,2019,5,CLE,Darius Garland,5,307,10392,5660,801,2052,.448,.384,.864,33.9,18.4,2.6,6.7,16.5,.076,-0.3,4.3
377,2019,6,PHO,Jarrett Culver,4,144,2480,934,402,173,.401,.276,.509,17.2,6.5,2.8,1.2,-0.1,-.001,-4.5,-1.6
378,2019,7,CHI,Coby White,5,348,10116,4896,1266,1288,.427,.369,.848,29.1,14.1,3.6,3.7,13.5,.064,-1.7,0.8
379,2019,8,ATL,Jaxson Hayes,5,311,4929,2111,1174,201,.636,.268,.707,15.8,6.8,3.8,0.6,16.4,.160,-0.4,2.0
380,2019,9,WAS,Rui Hachimura,5,278,7476,3543,1343,356,.493,.371,.763,26.9,12.7,4.8,1.3,11.3,.072,-2.2,-0.4
381,2019,10,ATL,Cam Reddish,5,221,5287,2046,612,275,.398,.324,.833,23.9,9.3,2.8,1.2,2.6,.023,-3.2,-1.6
382,2019,11,MIN,Cameron Johnson,5,283,7220,3325,1095,470,.447,.392,.830,25.5,11.7,3.9,1.7,17.7,.118,1.2,5.9
383,2019,12,CHO,P.J. Washington,5,333,10082,4285,1840,747,.447,.354,.705,30.3,12.9,5.5,2.2,12.5,.059,-1.2,1.9
384,2019,13,MIA,Tyler Herro,5,284,9038,5147,1403,1036,.440,.385,.872,31.8,18.1,4.9,3.6,12.5,.067,-0.1,4.5
385,2019,14,BOS,Romeo Langford,4,141,2268,650,298,97,.430,.288,.659,16.1,4.6,2.1,0.7,2.0,.043,-3.4,-0.8
