Name,Height (inches),Weight (lbs)
Guillermo Hernangómez,82,240
Paul Zipser,80,215
Michael Gbinije,79,200
Georgios Papagiannis,85,240
David Michineau,75,180
Zhou Qi,85,210
Cheick Diallo,81,220
Isaia Cordinier,77,177
Markelle Fultz,76,209
Lonzo Ball,78,190
Jayson Tatum,80,208
Josh Jackson,80,207
De'Aaron Fox,75,185
Jonathan Isaac,83,230
Lauri Markkanen,84,240
Frank Ntilikina,78,200
Dennis Smith Jr.,75,195
Zach Collins,85,250
Malik Monk,76,200
Luke Kennard,77,206
Donovan Mitchell,75,216
Bam Adebayo,81,255
Justin Jackson,80,210
Justin Patton,84,241
D.J. Wilson,81,231
T.J. Leaf,82,225
John Collins,81,235
Harry Giles,83,240
Terrance Ferguson,79,190
Jarrett Allen,83,237
OG Anunoby,79,232
Tyler Lydon,82,225
Anžejs Pasečņiks,84,229
Caleb Swanigan,80,260
Kyle Kuzma,81,221
Tony Bradley,82,248
Derrick White,76,190
Josh Hart,77,215
Frank Jackson,74,195
Davon Reed,78,220
Wesley Iwundu,79,195
Alec Peters,81,232
Jawun Evans,72,190
Ognjen Jaramaz,76,195
Edmond Sumner,76,196
Kadeem Allen,75,192
Sindarius Thornwell,77,215
Vlatko Čančar,81,210
Mathias Lessort,80,250
Dwayne Bacon,79,221
Tyler Dorsey,77,183
Thomas Bryant,83,248
Ivan Rabb,82,220
Jonah Bolden,81,220
Sterling Brown,77,219
Damyean Dotson,77,210
Dillon Brooks,79,220
Sterling Brown,77,219
Frank Mason III,71,190
Deandre Ayton,85,250
Marvin Bagley III,81,234
Luka Dončić,79,230
Jaren Jackson Jr.,82,242
Trae Young,74,180
Mo Bamba,84,225
Wendell Carter Jr.,82,270
Collin Sexton,74,190
Kevin Knox,82,212
Mikal Bridges,79,209
Shai Gilgeous-Alexander,78,180
Miles Bridges,79,225
Jerome Robinson,76,190
Michael Porter Jr.,82,218
Troy Brown Jr.,79,215
Zhaire Smith,76,199
Donte DiVincenzo,76,203
Lonnie Walker IV,77,204
Kevin Huerter,79,190
Josh Okogie,77,214
Grayson Allen,77,198
Chandler Hutchison,79,210
Aaron Holiday,73,185
Anfernee Simons,76,181
Elie Okobo,77,180
Mitchell Robinson,84,225
Jalen Brunson,74,190
Devonte' Graham,74,185
Melvin Frazier Jr.,77,215
Bruce Brown Jr.,77,202
Sviatoslav Mykhailiuk,80,205
Rodions Kurucs,80,220
Jarred Vanderbilt,82,214
Anthony Simons,76,185
Vincent Edwards,80,225
Jevon Carter,73,195
Hamidou Diallo,77,202
Omari Spellman,80,245
Devon Hall,77,215
Shake Milton,77,207
Arnoldas Kulboka,81,220
Ray Spalding,81,225
Kevin Hervey,80,230
Thomas Welsh,84,255
George King,78,225
Khyri Thomas,76,199
Alize Johnson,80,212
Tony Carr,76,198
Vincent Hunter,80,208
Issuf Sanon,78,200
Džanan Musa,80,195
